ricoId,label
rico:hasOrHadWorkRelationWith,a ou a eu une relation professionnelle avec
rico:hasOrganicOrFunctionalProvenance,a pour provenance organique ou fonctionnelle
rico:hasOrganicProvenance,a pour provenance organique
rico:hasOrganicProvenanceDate,a pour date de provenance organique
rico:hasOriginal,a pour original
rico:hasPartTransitive,a pour partie transitif
rico:hasProductionTechniqueType,a pour type de technique de production
rico:hasProxy,a pour proxy
rico:hasPublicationDate,a pour date de publication
rico:hasPublisher,a pour éditeur
rico:hasReceiver,est reçu par
rico:hasRecordSetType,a pour type d’ensemble d’objets informationnels
rico:hasRecordState,a pour état
rico:hasReply,a pour réponse
rico:hasRepresentationType,a pour type de représentation
rico:hasSender,a pour expéditeur
rico:hasSibling,a pour frère ou sœur
rico:hasSubdivisionTransitive,a pour subdivision transitif
rico:hasSubeventTransitive,est constitué de l’événement transitif
rico:hasSubordinateTransitive,a pour subalterne transitif
rico:hasSuccessor,a pour successeur
rico:hasTitleType,a pour type de titre
rico:hasUnitOfMeasurement,a pour unité de mesure
rico:hasWithin,contient
rico:included,a inclus
rico:includesOrIncluded,inclut ou a inclus
rico:includesProxy,inclut le proxy
rico:includesTransitive,inclut transitif
rico:instantiationToInstantiationRelation_role,a le rôle de la Relation entre instanciations
rico:intellectualPropertyRightsRelation_role,a le rôle de la Relation de propriété intellectuelle
rico:intersects,intersecte
rico:isAccumulationDateOf,est la date d'accumulation de
rico:isAccumulatorOf,accumule
rico:isActivityTypeOf,est le type d’activité de
rico:isAddresseeOf,est le destinataire de
rico:isAgentAssociatedWithAgent,est un agent associé à l’agent
rico:isAgentAssociatedWithPlace,est un agent associé au lieu
rico:isAssociatedWithDate,est associé à la date
rico:isAssociatedWithEvent,est associé à l’événement
rico:isAssociatedWithPlace,est associé au lieu
rico:isAssociatedWithRule,est associé à la règle
rico:isAuthorOf,est le responsable intellectuel de
rico:isAuthorizingAgentInMandateRelation,est l’agent donnant l’autorisation dans la relation impliquant un mandat
rico:isBeginningDateOf,est la date de début de
rico:isBirthDateOf,est la date de naissance de
rico:isBirthPlaceOf,est le lieu de naissance de
rico:isCarrierTypeOf,est le type de support de
rico:isChildOf,est l’enfant de
rico:isCollectorOf,collecte
rico:isComponentOfTransitive,est un composant de transitif
rico:isConstituentOfProxy,est le constituant du proxy
rico:isConstituentOfTransitive,est le constituant de transitif
rico:isContainedByTransitive,est contenu par transitif
rico:isContentTypeOf,est le type de contenu de
rico:isCopyOf,est la copie de
rico:isCreationDateOf,est la date de création de
rico:isCreatorOf,est le créateur de
rico:isDateAssociatedWith,est une date associée a
rico:isDateAssociatedWithRelation,est une date associée à la relation
rico:isDateOfOccurrenceOf,est la date d'occurrence de
rico:isDateTypeOf,est le type de date de
rico:isDeathDateOf,est la date de décès de
rico:isDeathPlaceOf,est le lieu de décès de
rico:isDerivationDateOf,est la date de dérivation de
rico:isDestructionDateOf,est la date de destruction de
rico:isDirectComponentOf,est le composant direct de
rico:isDirectConstituentOf,est un constituant direct de
rico:isDirectConstituentOfProxy,est un constituant direct du proxy
rico:isDirectPartOf,fait directement partie de
rico:isDirectSubdivisionOf,est la subdivision directe de
rico:isDirectSubeventOf,est un événement constituant directement l’événement
rico:isDirectSubordinateTo,est directement subalterne de
rico:isDirectlyContainedBy,est directement contenu par
rico:isDirectlyIncludedIn,est directement inclus dans
rico:isDirectlyIncludedInProxy,est directement inclus dans le proxy
rico:isDocumentaryFormTypeOf,est le type de document de
rico:isDraftOf,est l’ébauche de
rico:isEndDateOf,est la date de fin de
rico:isEquivalentTo,est l’équivalent de
rico:isEventAssociatedWith,est un événement associé a
rico:isEventTypeOf,est le type d’événement de
rico:isEvidencedBy,est attestée par
rico:isExtentOf,est la mesure de
rico:isExtentTypeOf,est le type de mesure de
rico:isFamilyTypeOf,est le type de famille de
rico:isFromUseDateOf,est la date à partir de laquelle est utilisé
rico:isFunctionallyEquivalentTo,est fonctionnellement équivalente à
rico:isIdentifierTypeOf,est le type d’identifiant de
rico:isIncludedInProxy,est inclus dans le proxy
rico:isIncludedInTransitive,est inclus dans transitif
