ricoId,Label
rico:isExtentTypeOf,Est le type de mesure de
rico:isFamilyTypeOf,Est le type de famille de
rico:isFromUseDateOf,Est la date à partir de laquelle est utilisé
rico:isFunctionallyEquivalentTo,Est fonctionnellement équivalente à
rico:isIdentifierTypeOf,Est le type d’identifiant de
rico:isIncludedInProxy,Est inclus dans le proxy
rico:isIncludedInTransitive,Est inclus dans transitif
rico:isInstantiationAssociatedWithInstantiation,Est associée à l’instanciation
rico:isLastUpdateDateOf,Est la date de dernière mise à jour de
rico:isMainThingRepresentedByContentOf,Est la chose principale représentée par le contenu de
rico:isMigrationDateOf,Est la date de migration de
rico:isModificationDateOf,Est une date de modification de
rico:isOrWasAccumulationDateOfAllMembersOf,Est ou a été la date de accumulation de tous les membres de
rico:isOrWasAccumulationDateOfMostMembersOf,Est ou a été la date d'accumulation de la plupart des membres de
rico:isOrWasAccumulationDateOfSomeMembersOf,Est ou a été la date d'accumulation de certains membres de
rico:isOrWasActiveAtDate,Est ou a été actif à la date
rico:isOrWasActivityDateOf,Est ou a été la date d’activité de
rico:isOrWasAdjacentTo,Est ou était limitrophe de
rico:isOrWasAffectedBy,Est ou a été affecté par
rico:isOrWasAgentNameOf,Est ou a été le nom de
rico:isOrWasAnalogueInstantiationOf,Est ou a été une instanciation analogique de
rico:isOrWasAppellationOf,Est ou a été l’appellation de
rico:isOrWasAttendedByStudent,Est ou a été fréquenté par l’étudiant
rico:isOrWasComponentOf,Est ou a été un composant de
rico:isOrWasConstituentOf,Est ou a été un constituant de
rico:isOrWasContainedBy,Est ou était inclus dans
rico:isOrWasContentTypeOfAllMembersOf,Est ou a été le type de contenu de tous les membres de
rico:isOrWasContentTypeOfSomeMembersOf,Est ou a été le type de contenu de certains membres de
rico:isOrWasControllerOf,Contrôle ou a contrôlé
rico:isOrWasCoordinatesOf,Sont ou ont été les coordonnées de
rico:isOrWasCorporateBodyTypeOf,Est ou a été le type de collectivité de
rico:isOrWasCreationDateOfAllMembersOf,Est ou a été la date de création de tous les membres de
rico:isOrWasCreationDateOfMostMembersOf,Est ou a été la date de création de la plupart des membres de
rico:isOrWasCreationDateOfSomeMembersOf,Est ou a été la date de création de certains membres de
rico:isOrWasDemographicGroupOf,Est ou a été le groupe démographique de
rico:isOrWasDerivedFromInstantiation,Est ou a été une instanciation dérivée de
rico:isOrWasDescribedBy,Est ou a été décrit par
rico:isOrWasDigitalInstantiationOf,Est ou a été une instanciation numérique de
rico:isOrWasDocumentaryFormTypeOfAllMembersOf,Est ou a été le type de document de tous les membres de
rico:isOrWasDocumentaryFormTypeOfSomeMembersOf,Est ou a été le type de document de certains membres de
rico:isOrWasEmployerOf,Est ou a été l'employeur de
rico:isOrWasEnforcedBy,Est ou a été imposé par
rico:isOrWasExpressedBy,Est ou a été exprimé par
rico:isOrWasHolderOf,Détient ou a détenu
rico:isOrWasHolderOfIntellectualPropertyRightsOf,Détient ou a détenu les droits de propriété intellectuelle sur
rico:isOrWasIdentifierOf,Est ou a été l’identifiant de
rico:isOrWasIncludedIn,Est ou a été inclus dans
rico:isOrWasInstantiationOf,Est ou a été une instanciation de
rico:isOrWasJurisdictionOf,Est ou a été le ressort de
rico:isOrWasLanguageOf,Est ou a été la langue de
rico:isOrWasLanguageOfAllMembersOf,Est ou a été la langue de tous les membres de
rico:isOrWasLanguageOfSomeMembersOf,Est ou a été la langue de certains membres de
rico:isOrWasLeaderOf,Est ou a été le dirigeant de
rico:isOrWasLegalStatusOf,Est ou a été le statut légal de
rico:isOrWasLegalStatusOfAllMembersOf,Est ou a été le statut légal de tous les membres de
rico:isOrWasLegalStatusOfSomeMembersOf,Est ou a été le statut légal de certains membres de
rico:isOrWasLocationOf,Est ou a été la localisation de
rico:isOrWasLocationOfAgent,Est ou a été la localisation de l'agent
rico:isOrWasMainSubjectOf,Est ou a été le sujet principal de
rico:isOrWasMainSubjectOfAllMembersOf,Est ou a été le sujet principal de tous les membres de
rico:isOrWasMainSubjectOfSomeMembersOf,Est ou a été le sujet principal de certains membres de
rico:isOrWasMainThingRepresentedByContentOfSomeMembersOf,Est ou a été la chose principale représentée par le contenu de certains membres de
rico:isOrWasManagerOf,Est ou a été le gestionnaire de
rico:isOrWasMandateTypeOf,Est ou a été le type de mandat de
rico:isOrWasMemberOf,Est ou a été membre de
rico:isOrWasNameOf,Est ou a été le nom de
rico:isOrWasOccupationTypeOf,Est ou a été le type d’occupation de
rico:isOrWasOccupiedBy,Est ou a été occupé par
rico:isOrWasOwnerOf,Est ou a été propriétaire de
rico:isOrWasPartOf,Est ou a été une partie de
rico:isOrWasParticipantIn,Participe ou a participé à
rico:isOrWasPerformedBy,Est ou a été réalisée par
rico:isOrWasPhysicalLocationOf,Est ou a été la localisation physique de
rico:isOrWasPlaceNameOf,Est ou a été le nom de lieu de
rico:isOrWasPlaceTypeOf,Est ou a été le type de lieu de
rico:isOrWasRecordStateOfAllMembersOf,Est ou a été l’état de tous les membres de
rico:isOrWasRecordStateOfSomeMembersOf,Est ou a été l’état de certains membres de
rico:isOrWasRegulatedBy,Est ou a été régulé par
rico:isOrWasRepresentedByContentOfSomeMembersOf,Est ou a été représenté par le contenu de certains membres de
rico:isOrWasResponsibleForEnforcing,Impose ou a imposé
rico:isOrWasRuleTypeOf,Est ou a été le type de règle de
rico:isOrWasSubdivisionOf,Est ou a été une subdivision de
rico:isOrWasSubeventOf,Est ou a été un événement constituant de
rico:isOrWasSubjectOf,Est ou a été le sujet de
rico:isOrWasSubjectOfAllMembersOf,Est ou a été le sujet de tous les membres de
rico:isOrWasSubjectOfSomeMembersOf,Est ou a été le sujet de certains membres de
rico:isOrWasSubordinateTo,Est ou a été le subalterne de
rico:isOrWasTitleOf,Est ou a été l’intitulé de
rico:isOrWasTypeOf,Est ou a été le type de
rico:isOrWasTypeOfAllMembersOf,Est ou a été le type de tous les membres de
rico:isOrWasTypeOfSomeMembersOf,Est ou a été le type de certains membres de
rico:isOrWasUnderAuthorityOf,Est ou a été sous l’autorité de
rico:isOrganicOrFunctionalProvenanceOf,Est la provenance organique ou fonctionnelle de
rico:isOrganicProvenanceDateOf,Est la date de provenance organique de
rico:isOrganicProvenanceOf,Est le producteur de
rico:isOriginalOf,Est l’original de
rico:isPartOfTransitive,Est une partie de transitif
rico:isPlaceAssociatedWith,Est un lieu associé à
rico:isPlaceAssociatedWithAgent,Est un lieu associé à l'agent
rico:isProductionTechniqueTypeOf,Est le type de technique de production de
rico:isPublicationDateOf,Est la date de publication de
rico:isPublisherOf,Est l’éditeur de
rico:isReceiverOf,Reçoit
rico:isRecordResourceAssociatedWithRecordResource,Est une ressource archivistique associée avec la ressource archivistique
rico:isRecordSetTypeOf,Est le type d’ensemble d’objets informationnels de
rico:isRecordStateOf,Est l’état de
rico:isRelatedTo,Est relié à
rico:isReplyTo,Est une réponse à
rico:isRepresentationTypeOf,Est le type de représentation de
rico:isRepresentedByContentOf,Est représenté par le contenu de
rico:isResponsibleForIssuing,Est chargé de rendre publique
rico:isRuleAssociatedWith,Est une règle associée à
rico:isSenderOf,Est l’expéditeur de
rico:isSourceOfInformationOfRecordResource,Est une source d’information de la ressource archivistique
rico:isSubdivisionOfTransitive,Est une subdivision de transitif
rico:isSubeventOfTransitive,Est un événement constituant de transitif
rico:isSubordinateToTransitive,Est subalterne de transitif
rico:isSuccessorOf,Est le successeur de
rico:isTitleTypeOf,Est le type de titre de
rico:isToUseDateOf,Est la date jusqu’à laquelle est utilisé
rico:isUnitOfMeasurementOf,Est l’unité de mesure de
rico:isWithin,Est contenu dans
rico:issuedBy,Rendue publique par
rico:knowingOfRelation_role,A le rôle de la Relation de connaissance à propos d’une personne
